|table_name|chunk_id|column_id|    column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes|point_accesses|sequential_accesses|monotonic_accesses|random_accesses|dictionary_accesses|
|  lineitem|       6|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       6|       10|     l_shipdate|          string|                  27|   Dictionary|  FixedSize1ByteAligned|        66743|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       6|       11|   l_commitdate|          string|                 204|   Dictionary|  FixedSize1ByteAligned|        73823|             0|              65535|            312129|         928983|             377664|
|  lineitem|       6|       12|  l_receiptdate|          string|                  56|   Dictionary|  FixedSize1ByteAligned|        67903|             0|              65535|            312129|         928983|             377664|
|  lineitem|       6|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             24654|              0|              69935|
|  lineitem|       6|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            175922|              0|              76535|
|  lineitem|       6|       15|      l_comment|          string|               63721|   Dictionary|  FixedSize2ByteAligned|      4318661|             0|              65535|                 0|              0|              65535|
|  lineitem|       7|        0|     l_orderkey|             int|               44739|    TurboPFOR|                   NULL|       181530|             0|           90634905|            803000|        3371361|                  0|
|  lineitem|       7|        1|      l_partkey|             int|               55956|    TurboPFOR|                   NULL|       149206|             0|          215479080|            406050|         610441|                  0|
|  lineitem|       7|        2|      l_suppkey|             int|                9980|    TurboPFOR|                   NULL|       116438|             0|            7995270|            198475|        2572484|                  0|
|  lineitem|       7|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       7|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1823|           10682205|              5708|         600239|           10711311|
|  lineitem|       7|        5|l_extendedprice|           float|               62902|   Dictionary|  FixedSize2ByteAligned|       382774|             0|           11730765|                 0|         416100|           11730765|
|  lineitem|       7|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         407543|           11730765|
|  lineitem|       7|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       7|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       7|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       7|       10|     l_shipdate|          string|                  28|   Dictionary|  FixedSize1ByteAligned|        66783|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       7|       11|   l_commitdate|          string|                 205|   Dictionary|  FixedSize1ByteAligned|        73863|             0|              65535|            312133|         935128|             377668|
|  lineitem|       7|       12|  l_receiptdate|          string|                  57|   Dictionary|  FixedSize1ByteAligned|        67943|             0|              65535|            312133|         935128|             377668|
|  lineitem|       7|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             28424|              0|              69935|
|  lineitem|       7|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            176318|              0|              76535|
|  lineitem|       7|       15|      l_comment|          string|               63729|   Dictionary|  FixedSize2ByteAligned|      4320617|             0|              65535|                 0|              0|              65535|
|  lineitem|       8|        0|     l_orderkey|             int|               44850|    TurboPFOR|                   NULL|       181626|             0|           90634905|            805590|        3354704|                  0|
|  lineitem|       8|        1|      l_partkey|             int|               55988|    TurboPFOR|                   NULL|       149206|             0|          215479080|            405014|         606627|                  0|
|  lineitem|       8|        2|      l_suppkey|             int|                9987|    TurboPFOR|                   NULL|       116438|             0|            7995270|            196220|        2560875|                  0|
|  lineitem|       8|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       8|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1679|           10682205|              6866|         597892|           10711161|
|  lineitem|       8|        5|l_extendedprice|           float|               63034|   Dictionary|  FixedSize2ByteAligned|       383302|             0|           11730765|                 0|         414856|           11730765|
|  lineitem|       8|        6|     l_discount|           float|                  11|   Dictionary|  FixedSize1ByteAligned|        65675|             0|           11730765|                 0|         406574|           11730765|
|  lineitem|       8|        7|          l_tax|           float|                   9|   Dictionary|  FixedSize1ByteAligned|        65667|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       8|        8|   l_returnflag|          string|                   2|   Dictionary|  FixedSize1ByteAligned|        65743|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       8|        9|   l_linestatus|          string|                   1|   Dictionary|  FixedSize1ByteAligned|        65703|             0|            5898150|                 0|              0|            5898150|
|  lineitem|       8|       10|     l_shipdate|          string|                  27|   Dictionary|  FixedSize1ByteAligned|        66743|             0|            5963685|                 0|              0|            5963685|
|  lineitem|       8|       11|   l_commitdate|          string|                 206|   Dictionary|  FixedSize1ByteAligned|        73903|             0|              65535|            312108|         930589|             377643|
|  lineitem|       8|       12|  l_receiptdate|          string|                  56|   Dictionary|  FixedSize1ByteAligned|        67903|             0|              65535|            312108|         930589|             377643|
|  lineitem|       8|       13| l_shipinstruct|          string|                   4|   Dictionary|  FixedSize1ByteAligned|        65858|             0|              65535|             27207|              0|              69935|
|  lineitem|       8|       14|     l_shipmode|          string|                   7|   Dictionary|  FixedSize1ByteAligned|        65943|             0|              65535|            181649|              0|              76535|
|  lineitem|       8|       15|      l_comment|          string|               63737|   Dictionary|  FixedSize2ByteAligned|      4321540|             0|              65535|                 0|              0|              65535|
|  lineitem|       9|        0|     l_orderkey|             int|               44778|    TurboPFOR|                   NULL|       181817|             0|           90634905|            800636|        3362382|                  0|
|  lineitem|       9|        1|      l_partkey|             int|               55830|    TurboPFOR|                   NULL|       149206|             0|          215479080|            404968|         604473|                  0|
|  lineitem|       9|        2|      l_suppkey|             int|                9985|    TurboPFOR|                   NULL|       116438|             0|            7995270|            197834|        2563681|                  0|
|  lineitem|       9|        3|   l_linenumber|             int|                   7|    TurboPFOR|                   NULL|        26326|             0|             196605|                 0|              0|                  0|
|  lineitem|       9|        4|     l_quantity|           float|                  50|   Dictionary|  FixedSize1ByteAligned|        65831|          1852|           10682205|              6294|         597185|           10710297|
|  lineitem|       9|        5|l_extendedprice|           float|               63107|   Dictionary|  FixedSize2ByteAligned|       383594|             0|           11730765|                 0|         414787|           11730765|
